objectid,parentid,format,display_template,object_location,title,date,date_created,description,category,image_small,image_thumb
01ccp,,image/jpeg,image,objects/01ccp.jpg,"Stock judging at State Fair, 1912",1912,1912,Stock judging at State Fair by Tempe Normal School agriculture students. 1912 Photographer: Heath UP UPC ASUG S882 1910s #2,"Community, Collaboration and Partnership",/objects/small/01ccp_sm.jpg,/objects/thumbs/01ccp_th.jpg
01lead,,image/jpeg,image,objects/01lead.jpg,First Principal Hiram Bradford Farmer 1886-1888,1886,1886-1888,"First Principal Hiram Bradford Farmer 1886-1888 UP UPC ASUP Farmer, Hiram Bradford The first class of 33 students at the Territorial Normal School in 1886 was greeted by its first teacher and principal, Hiram Bradford Farmer. This initial student body included 16-year-old students with no high school education, since there were no high schools in the Arizona Territory. Farmer's early efforts were spent establishing the school's core curriculum. He wanted students to be well grounded in the basics of reading, writing, spelling, grammar, arithmetic, geography, and United States history. Students also took classes in philosophy, Latin, rhetoric, English literature, and the philosophy of education. Farmer gave out diplomas to only 5 students in his three semesters as teacher-principal to students of varying ages and experiences - not because of a lack of students, but because he would reward no student who failed to satisfy his academic standards. In his view, unprepared teachers would be of no value to the communities nor to the students they served. Principal Farmer is credited with establishing the Territorial Normal School's first practice teaching program, and he put his advanced students to work teaching the lower classes. It is Farmer who is credited for establishing the Territorial Normal School's reputation as a viable institution of higher learning.",Leadership,/objects/small/01lead_sm.jpg,/objects/thumbs/01lead_th.jpg
01research,,image/jpeg,image,objects/01research.jpg,"Normal School Library 2nd floor Old Main, 1907",1907,1907,"Normal School Library 2nd floor Old Main 1907 ASUB O42 #105 Academic Freedom - Research Category Index Next Image On opening day the Territorial School at Tempe library consisted of a dictionary and a terrestrial globe on a shelf in the original building. Today the ASU Library nine branches have a collection of 3.1 million volumes, ranked 37th largest research library in the US and Canada. The first mention of a library in the 1889 catalog listed the holdings as Normal School Library 2nd floor Old Main 1907 ASUB O42 #105 a newly acquired Encyclopedia Britannica. Old Main opened in 1898, and the new library housed 700 volumes on history, science, education and general literature, and other periodicals including publications from the Smithsonian Institution. As attendance increased and new degrees were added, the library collection expanded to support the new curriculum. Matthews Library opened in 1930 with 14,000 volumes.",Academic Freedom - Research,/objects/small/01research_sm.jpg,/objects/thumbs/01research_th.jpg
01stor,,image/jpeg,image,objects/01stor.jpg,"Military Cadets, 1898",1898,1898,"Military Cadets Cadet Company under direction of Captain Fredrick M. Irish, near the fishpond in front of Old Main. 1898 UP UPC ASUD M54.C3 1890s #16 Frederick M. Irish was placed in charge of the male students when military drill was introduced to the Normal School in 1896. The 30 week session was mandatory. Promoters felt that outdoor drills would be a good balance for studies and also enhance mental and personal habits. The course included: the school of soldier; the school of the company; bayonet exercises; battle formation; ceremonies of parade; and duties of sentinels. The cadets also Military Cadets Cadet Company under direction of Captain Fredrick M. Irish, near the fishpond in front of Old Main. 1898 UP UPC ASUD M54.C3 1890s #16 performed military exercises during a two-day encampment. They became an official part of the National Guard during this time, and were called the Normal School Cadet Company. General interest in military training diminished after World War I and military training in Tempe was discontinued. It was reinstated in 1943 when the Army Air Force College Training Detachment came to campus. In 1948, both Army and Air Force ROTC was established. For more information about the AFROTC, please visit http://www.asu.edu/clas/afrotc/.",,/objects/small/01stor_sm.jpg,/objects/thumbs/01stor_th.jpg
02acpro,,application/pdf,pdf,objects/02acpro.pdf,"Course of Study By Hiram Bradford Farmer, 1886-87",1886,1886-1887,Course of Study By Hiram Bradford Farmer 0.3 Catalog 1886-87,Academic Freedom - Academic Programs,/objects/small/02acpro1_sm.jpg,/objects/thumbs/02acpro1_th.jpg
02athlet,,image/jpeg,image,objects/02athlet.jpg,"Tempe State Teachers College Bulldogs Baseball Team, 1929-30",1929,1929-1930,Tempe State Teachers College Bulldogs Baseball Team 1929-30 UP UPC ASUA B37 1920s #2/neg,Campus Lives - Athletes,/objects/small/02athlet_sm.jpg,/objects/thumbs/02athlet_th.jpg
02casc,,image/jpeg,image,objects/02casc.jpg,"Students waiting for the trolley, ca. 1890s",1890,1890s,Students waiting for the trolley Old Main is in the background. ca. 1890s UP UPC ASUB C357 1890s #9,Campus Lives - Campus Scenes,/objects/small/02casc_sm.jpg,/objects/thumbs/02casc_th.jpg
02ccp,,image/jpeg,image,objects/02ccp.jpg,Boy Scouts,1931,1931,"Boy Scouts met in the loft of Old Main at Tempe State Teachers College. Left to right: Vern Tuckey, Carter Clark, Eugene Burkhard, Jim King, Dick Dyraman. Standing: Bob Sweatman, Mr. Culbertson. 1931 UP UPC ASUG B6 #15","Community, Collaboration and Partnership",/objects/small/02ccp_sm.jpg,/objects/thumbs/02ccp_th.jpg
02land,,image/jpeg,image,objects/02land.jpg,"Arizona Territorial Normal School, 1890",1890,1890,"Arizona Territorial Normal School Architect: J.M.Creighton Photographer: Phoenix View Co. 1890 UP UPC ASUB N623 #1 The first building on the campus of the Arizona Territorial Normal School was a 60' x 70' red clay (from Tempe Butte) brick building with four rooms. Each room was 30' x 30'. There was a ten foot hallway through the center running north and south, and a ten foot porch surrounding the building. Other features included in the building were sixty-four French doors which provided cross ventilation in each room, sheet metal stoves for heating with mesquite wood, a well with a windmill, and outhouses. Horses were boarded in a pasture for fifty cents per month or five dollars for the year. Parking was the same fee. The Original Building, as it was referred to, was razed in 1906. University Archives Department of Archives and Manuscripts Arizona State University Libraries",ASU Library:,/objects/small/02land_sm.jpg,/objects/thumbs/02land_th.jpg
02lead,,image/jpeg,image,objects/02lead.jpg,"Farmer Road in Tempe Named for Farmer, 1985",1985,1985,"Farmer Road in Tempe Named for Farmer Tempe Daily News Article November 9, 1985 UE ASU INFO-572",Leadership,/objects/small/02lead_sm.jpg,/objects/thumbs/02lead_th.jpg
02research,,image/jpeg,image,objects/02research.jpg,"Old Main Library, 1918",1918,1918,Academic Freedom - Research Old Main Library 1918 ASUB O42 #108,Academic Freedom - Research,/objects/small/02research_sm.jpg,/objects/thumbs/02research_th.jpg
02stor,,image/jpeg,image,objects/02stor.jpg,"Women cadets, 1910s",1910,1910s,Women cadets Military Science support group 1910s UP UPC ASUD M54.C3 1910s #44,Campus Lives - Student Organizations,/objects/small/02stor_sm.jpg,/objects/thumbs/02stor_th.jpg
03acpro,,image/jpeg,image,objects/03acpro.jpg,"Faculty and student body, 1890",1890,1890,Faculty and student body 1890 Assistant Principal Edgar L. Storment standing at the far left with Principal Dayton Alonzo Reed. LD 179.28 T6 A3x Vol.1,Academic Freedom - Academic Programs,/objects/small/03acpro_sm.jpg,/objects/thumbs/03acpro_th.jpg
03athlet,,image/jpeg,image,objects/03athlet.jpg,"Sun Devils Baseball Team National Champs, 1965",1965,1965,Sun Devils Baseball Team National Champs 1965 See spring sports guide 1966 for player names (34.7 SP82) UP UPC ASUA B37 1960s #11,Campus Lives - Athletes,/objects/small/03athlet_sm.jpg,/objects/thumbs/03athlet_th.jpg
03casc,,image/jpeg,image,objects/03casc.jpg,"Mrs. Swiggett (Ida Warren), first married student, ca. 1896",1896,1896,"Mrs. Swiggett (Ida Warren), first married student, depicted here on the porch of the Normal School Building. ca. 1896 UP UPC ASUB N623 #19 For more information about programs for families at ASU, please visit:http://www.asu.edu/vpsa/family/",ASU Library:,/objects/small/03casc_sm.jpg,/objects/thumbs/03casc_th.jpg
03ccp,,image/jpeg,image,objects/03ccp.jpg,"Boy Scouts of America Certificate, 1925",1925,1925,Boy Scouts of America Certificate Scouting courses were offered at the Tempe State Teachers College 1925 Harry E. Earhart Papers UM USM 56,"Community, Collaboration and Partnership",/objects/small/03ccp_sm.jpg,/objects/thumbs/03ccp_th.jpg
03land1,,image/jpeg,image,objects/03land1.jpg,"Training School, 1901",1901,1901,"Training School Students, teachers and Dr. Matthews at the Training School 1901 UP UPC ASUB N623 #26 Teachers and training school students outside the Original Building, which became the Training School when Old Main opened in 1898. This is one of the few images of the school showing the windmill. The building was located at the site of the northwest corner of the present Life Sciences Center.",ASU Library:,/objects/small/03land1_sm.jpg,/objects/thumbs/03land1_th.jpg
03lead,,image/jpeg,image,objects/03lead.jpg,"Farmer House, first dormitory, ca. 1886-88",1886,1886,"Farmer House, first dormitory ca. 1886-88 3.20",Leadership,/objects/small/03lead_sm.jpg,/objects/thumbs/03lead_th.jpg
03research,,image/jpeg,image,objects/03research.jpg,"Old Main Library, 1927",1927,1927,Academic Freedom - Research Old Main Library 1927 ASUB O41 #39,Academic Freedom - Research,/objects/small/03research_sm.jpg,/objects/thumbs/03research_th.jpg
03stor,,image/jpeg,image,objects/03stor.jpg,"Zetetic Society, 1920s",1893,1893,"Campus Lives - Student Organizations Category Index Next Image The Zetetic Society 1920s UP UPC ASUD Z47 #8 The Zetetic Society, organized in 1893, was the first literary society created to encourage literary investigation, discussion and public speaking.",Campus Lives - Student Organizations,/objects/small/03stor_sm.jpg,/objects/thumbs/03stor_th.jpg
04acpro,,image/jpeg,image,objects/04acpro.jpg,"Course of Study By Robert Lindley Long, 1888-1890",1888,1888-1890,Course of Study By Robert Lindley Long 1888-1890 0.3 Catalog,Academic Freedom - Academic Programs,/objects/small/04acpro_sm.jpg,/objects/thumbs/04acpro_th.jpg
04athlet,,image/jpeg,image,objects/04athlet.jpg,"Recent History, ASU Baseball Media Guide, 1998",1998,1998,"Recent History ASU Baseball Media Guide, 1998, pg. 3 34.10 B291 Archives",Campus Lives - Athletes,/objects/small/04athlet_sm.jpg,/objects/thumbs/04athlet_th.jpg
04casc,,image/jpeg,image,objects/04casc.jpg,"Frederick M. Irish at 'The Bee Hive' with Normal School students, 1899",1899,1899,"Frederick M. Irish at ""The Bee Hive"" with Normal School students. 1899 UP UPC ASUP Frederick M. Irish",Campus Lives - Campus Scenes,/objects/small/04casc_sm.jpg,/objects/thumbs/04casc_th.jpg
04ccp,,image/jpeg,image,objects/04ccp.jpg,"Varsity Inn, Tempe, 1938",1938,1938,"Varsity Inn, Tempe 1938 UP UPC ASUB V37 #10 For over forty years the Varsity Inn served as the student hangout at College Avenue and University Drive. The Inn was established, owned and managed by Bill Bailey from the late 1920s until 1944. The student landmark was razed in 1964.","Community, Collaboration and Partnership",/objects/small/04ccp_sm.jpg,/objects/thumbs/04ccp_th.jpg
04land,,image/jpeg,image,objects/04land.jpg,"View north of Old Main,1897",1897,1897,"View north of Old Main 1897 UP UPC ASUB C357 1890s #1 The main entrance to the campus was Eighth Street (University Drive), which led to the Main Building. The structures seen at the foot of the Tempe Butte were part of the Mexican community of San Pablo, which was established in 1873.",Landmarks,/objects/small/04land_sm.jpg,/objects/thumbs/04land_th.jpg
04lead,,image/jpeg,image,objects/04lead.jpg,Second Principal Robert Lindley Long 1888-1890,1888,1888-1890,"Second Principal Robert Lindley Long 1888-1890 UP UPC ASUP Long, Robert Lindley Principal Long was appointed by the Trustees of the Territorial Normal School of Arizona to fill the position vacated by Hiram Bradford Farmer. A long-time advocate of public schools, Principal Long worked to provide quality education for Normal School students.",Leadership,/objects/small/04lead_sm.jpg,/objects/thumbs/04lead_th.jpg
04research,,image/jpeg,image,objects/04research.jpg,"Matthews Library, 1950s",1914,1914,"Matthews Library 1950s ASUB M382 #56 Academic Freedom - Research As early as 1914 President A. J. Matthews recognized the need for a new library. Opened in 1930, Matthews Library, named for the past president, was dedicated in part to the library collection. In 1955 the library was expanded to accommodate 800,000 books, but with university status attained in 1958, the demands of advanced degrees and faculty research Matthews Library 1950s ASUB M382 #56 facilitated the need for a new library. In 1966, after 36 years of service, Matthews Library was closed and sixteen miles of books were moved to the new Charles Trumbull Hayden Library.",Academic Freedom - Research,/objects/small/04research_sm.jpg,/objects/thumbs/04research_th.jpg
04stor,,image/jpeg,image,objects/04stor.jpg,"Philomathian Society, 1913",1913,1913,"Philomathian Society ca. 1913 UP UPC ASUD P45 #1 The Philomathian Society was the mandatory literary society for second year, junior and senior students organized by Dr. Matthews in 1900.",Campus Lives - Student Organizations,/objects/small/04stor_sm.jpg,/objects/thumbs/04stor_th.jpg
05acpro,,image/jpeg,image,objects/05acpro.jpg,"Normal School Opening Day, February 8, 1886",1886,1886,"Academic Freedom - Academic Programs Category Index Next Image Normal School The first institution of higher education in Arizona Opening Day, February 8, 1886 UP UPC ASUG O63 #10",Academic Freedom - Academic Programs,/objects/small/05acpro_sm.jpg,/objects/thumbs/05acpro_th.jpg
05alead,,,compound_object,,"Arizona Territorial Normal School report, 1891",1891,1891,Arizona Territorial Normal School report 1891 3.22 Report,Leadership,/objects/small/05alead1_sm.jpg,/objects/thumbs/05alead1_th.jpg
05alead1,05alead,image/jpeg,image,objects/05alead1.jpg,"Arizona Territorial Normal School report, 1891, page 1",1891,1891,,,/objects/small/05alead1_sm.jpg,/objects/thumbs/05alead1_th.jpg
05alead2,05alead,image/jpeg,image,objects/05alead2.jpg,"Arizona Territorial Normal School report, 1891, page 2",1891,1891,,,/objects/small/05alead2_sm.jpg,/objects/thumbs/05alead2_th.jpg
05alead3,05alead,image/jpeg,image,objects/05alead3.jpg,"Arizona Territorial Normal School report, 1891, page 3",1891,1891,,,/objects/small/05alead3_sm.jpg,/objects/thumbs/05alead3_th.jpg
05athlet,,image/jpeg,image,objects/05athlet.jpg,"First Football Team, The Normals, 1896-97",1896,1896,"Jump to Text Below First Football Team, The Normals, 1896-97 UP UPC ASUA F66 1890s #3 The Sun Devils tradition began when the first football team was organized in 1896 with Tempe Normals playing local high schools and colleges. In 1925 the Bulldogs had their first out-of-state game against the Texas School of Mines. The team won its first Border Conference Championship in 1931. A new stadium named in honor of Garfield Goodwin opened in 1936 with a seating capacity of 4000. The team worked its way toward their first Sun Bowl invitation and victory at El Paso in 1940. Following World War II, the team was renamed the Arizona State College Sun Devils by a student vote in 1946. With support from the Sun Angel Foundation, founded in 1946, the team began its climb to notoriety by playing in two Phoenix Salad Bowls, benefit games for underprivileged children, in 1950 and 1951. To support a growing interest in ASU football, Sun Devil Stadium was opened in 1958 with a seating capacity of 42,000 people. During the 1960's the Sun Devils dominated the Western Athletic Conference, ending the decade with a 1970 Peach Bowl victory in Atlanta. The Sun Devils' success continued through the 1970s, earning invitations to seven Fiesta Bowls and culminating with their move to the Pacific Athletic Conference (Pac-10) in 1978. Arizona State's greatest gridiron triumph, since beating the University of Arizona in their first game in 1899, was their 1987 Rose Bowl victory over the University of Michigan. The Devils are still the only Arizona team to earn a Rose Bowl invitation. Since 1940 the Maroon and Gold have competed in 17 bowl games with a record of 10-6-1. For more about Sun Devil football, please visit: http://thesundevils.fansonly.com/sports/m-footbl/asu-m-footbl-body.html",Campus Lives - Athletes,/objects/small/05athlet_sm.jpg,/objects/thumbs/05athlet_th.jpg
05casc,,image/jpeg,image,objects/05casc.jpg,"Class portrait showing Old Main and the original Normal School Building, 1901",1901,1901,Class portrait showing Old Main and the original Normal School Building before it was razed in 1906. 1901 UP UPC ASUP S88 1900 #9,Campus Lives - Campus Scenes,/objects/small/05casc_sm.jpg,/objects/thumbs/05casc_th.jpg
05ccp,,image/jpeg,image,objects/05ccp.jpg,"Varsity Inn, Tempe, ca. 1930s",1930,1930s,"Varsity Inn, Tempe Staff and students/patrons ca. 1930s UP UPC ASUB V37 #15","Community, Collaboration and Partnership",/objects/small/05ccp_sm.jpg,/objects/thumbs/05ccp_th.jpg
05land,,image/jpeg,image,objects/05land.jpg,"Tyler Mall, ca. 1904-05",1904,1904,"Original Building, Alpha Hall and Old Main on Tyler Mall ca. 1904-05 UP UPC ASUB C357 1900s #4 Alpha Hall and the Training School/Original Building are on the left and Old Main is on the right. The view is to the west.",Landmarks,/objects/small/05land_sm.jpg,/objects/thumbs/05land_th.jpg
05lead,,image/jpeg,image,objects/05lead.jpg,Third Principal Dayton A. Reed 1890-1892,1890,1890-1892,"Third Principal Dayton A. Reed 1890-1892 UP UPC ASUP Reed, Dayton A. The keystone of Arizona's educational system and its main source of teachers was the Arizona Territorial Normal School in Tempe. Classes had already started in 1886, held in a four-room building with 33 students in attendance. When the Reed-Storment era began, it was clear to them that better facilities had to be developed in order to provide a good teaching environment for students. Reed and Storment are credited with establishing funds for and beginning construction of the historic building and intellectual symbol of the university today, Old Main.",Leadership,/objects/small/05lead_sm.jpg,/objects/thumbs/05lead_th.jpg
05research,,image/jpeg,image,objects/05research.jpg,"Arizona Republic Article about Matthews Library, 8/22/35",1935-08-22,1935-08-22,Academic Freedom - Research Matthews Library 8/22/35 Arizona Republic Article UE ASU Info File 1128,Academic Freedom - Research,/objects/small/05research_sm.jpg,/objects/thumbs/05research_th.jpg
05stor,,image/jpeg,image,objects/05stor.jpg,"Alpha Society, N.D.",1900,1900,Alpha Society N.D. UP UPC ASUD A4242 #3 The Alpha Society was the mandatory literary society organized by Dr. Matthews for freshmen students in 1900.,Campus Lives - Student Organizations,/objects/small/05stor_sm.jpg,/objects/thumbs/05stor_th.jpg
06Astor,,image/jpeg,image,objects/06Astor.jpg,"Alpha, 1911",1911,1911,"Alpha, Olympia and Philo 1911 131.15 v.1 1911 El Picadillo Year Book, Page 50 Page 51",Campus Lives - Student Organizations,/objects/small/06astor_sm.jpg,/objects/thumbs/06astor_th.jpg
06Bstor,,image/jpeg,image,objects/06Bstor.jpg,"Alpha, Olympia and Philo, page 2",,,Page 1 of letter,Campus Lives - Student Organizations,/objects/small/06bstor_sm.jpg,/objects/thumbs/06bstor_th.jpg
06acpro,,image/jpeg,image,objects/06acpro.jpg,"Opening Day, Professor H. B. Farmer and students, 1886",1886,1886,"Academic Freedom - Academic Programs Normal School Opening Day, February 8, 1886 Professor H. B. Farmer and students 1886 UP UPC ASUG O63 #13",Academic Freedom - Academic Programs,/objects/small/06acpro_sm.jpg,/objects/thumbs/06acpro_th.jpg
06alead,,,compound_object,,"Normal School Annual Report, 1894",1894,1894,"Normal School Annual Report December 15, 1894 3.23",Leadership,/objects/small/06alead1_sm.jpg,/objects/thumbs/06alead1_th.jpg
06alead1,06alead,image/jpeg,image,objects/06alead1.jpg,"Normal School Annual Report, 1894, page 1",1894,1894,,,/objects/small/06alead1_sm.jpg,/objects/thumbs/06alead1_th.jpg
06alead2,06alead,image/jpeg,image,objects/06alead2.jpg,"Normal School Annual Report, 1891, page 2",1891,1891,,,/objects/small/06alead2_sm.jpg,/objects/thumbs/06alead2_th.jpg
06athlet,,image/jpeg,image,objects/06athlet.jpg,"Normal School of Arizona Wins, 1899",1899,1899,"Normal School of Arizona Wins 1899 UP UPC ASUA 66 1890s #33 Click here to view the Territorial Cup The 1899 Normal Team with the Arizona Territorial Championship trophy on the Old Main steps after defeating the University of Arizona in the first meeting of the two schools. Front row, l-r: Billy Woolf, Walter Shute, Chris Sagala. Second row: Charlie Haigler, Noble Carter, Robert Richards, Alma Davis. Third row: Harvey Wagnon, Jack Stelzreid, Arthur Woolf. Top row: Charles Woolf, Garfield Goodwin. ASU maintains the trophy at the University Archives. Normal School of Arizona Wins 1899 UP UPC ASUA 66 1890s #33 Click here to view the Territorial Cup",Campus Lives - Athletes,/objects/small/06athlet_sm.jpg,/objects/thumbs/06athlet_th.jpg
06casc,,image/jpeg,image,objects/06casc.jpg,"Teddy Roosevelt speaking to the students of Tempe Normal School, 1911",1911,1911,Teddy Roosevelt speaking to the students of Tempe Normal School from the steps of Old Main after the dedication of the Roosevelt Dam. 1911 UP UPC ASUB O42 #34,Campus Lives - Campus Scenes,/objects/small/06casc_sm.jpg,/objects/thumbs/06casc_th.jpg
06ccp,,image/jpeg,image,objects/06ccp.jpg,"Media Services/News Bureau Staff, 1950s",1947,1947,"Media Services/News Bureau Staff 1950s UP UPC ASUD N49 negative 7E From 1947 to 1953, ASC news services consisted of a representative from the Associated Press and a publicity director. Dr. Joe Spring developed the News Bureau, and served as director from 1954 until his retirement in 1983. Ann Bergin modernized the staff and served as director when ""Insight "" was launched in July 1984. In 1999, the News Bureau's name was changed to Media Relations and Public Information. Media Services/News Bureau Staff 1950s UP UPC ASUD N49 negative 7E Visit Media Relations and Public Information online at: http://www.asu.edu/asunews/","Community, Collaboration and Partnership",/objects/small/06ccp_sm.jpg,/objects/thumbs/06ccp_th.jpg
06land,,image/jpeg,image,objects/06land.jpg,"Plat of the Campus, 1907",1907,1907,"Plat of the Campus 1907 UP UPC ASUB Plat The plat identifies the structures that comprised Tempe Normal School in 1907. The solid black illustrates the existing buildings, and the shaded areas are projected buildings. In 1907, almost all of the original 20 acres were in use. The Original Building was razed in 1906 and replaced with the Blome Training School. Athletic facilities were also plentiful - there were tennis courts, the first athletic field (Normal Field), and athletic quarters built in 1899. The First Dining Hall, built in 1905 and mainly intended for non-resident students, could seat about 200 diners. This 60' x 80' building (located at the present site of Life Sciences) was razed in 1961.",Landmarks,/objects/small/06land_sm.jpg,/objects/thumbs/06land_th.jpg
06lead,,image/jpeg,image,objects/06lead.jpg,Fourth Principal Edgar L. Storment 1892-1895,1892,1892-1895,"Fourth Principal Edgar L. Storment 1892-1895 Storment is in the first row, left of center UP UPC ASUB N623 #15",Leadership,/objects/small/06lead_sm.jpg,/objects/thumbs/06lead_th.jpg
06research,,image/jpeg,image,objects/06research.jpg,"ASU Art Collection, tour of training school pupils, 1953",1953,1953,"ASU Art Collection Tour of training school pupils. 1953 ASUD U542 #38 Paula R. Kloster Wasser Curator of the American Art Collection Academic Freedom - Research Paula Kloster was professor and head of the department of art at Arizona State College when she was appointed curator of the American Art Collection in 1951. The original collection of sixteen oil paintings donated by Oliver B. James, a New York City native, expanded to include145 works of 18th and early 19th century and contemporary artists in various media originally valued at a quarter of a million dollars. The collection, located in the Matthews Library and later the Art Museum, brought cultural life to the students, faculty, staff, school children and the community through exhibitions, art panels, lectures and gallery talks. The American Collection and the educational programs that supported it were the seed of today's nationally recognized University Art Museum, Katherine K. Herberger College of Fine Arts. For more information about the University Art Museum, please visit: http://asuartmuseum.asu.edu/index.html ASU Art Collection Tour of training school pupils. 1953 ASUD U542 #38 Paula R. Kloster Wasser Curator of the American Art Collection",Academic Freedom - Research,/objects/small/06research_sm.jpg,/objects/thumbs/06research_th.jpg
07alead,,,compound_object,,"Rules of Conduct, 1898",1898,1898,"Rules of Conduct January 5, 1898 3.24 Rules of Conduct",Leadership,/objects/small/07alead1_sm.jpg,/objects/thumbs/07alead1_th.jpg
07alead1,07alead,image/jpeg,image,objects/07alead1.jpg,"Rules of Conduct, 1898, page 1",1898,1898,,,/objects/small/07alead1_sm.jpg,/objects/thumbs/07alead1_th.jpg
07alead2,07alead,image/jpeg,image,objects/07alead2.jpg,"Rules of Conduct, 1898, page 2",1898,1898,,,/objects/small/07alead2_sm.jpg,/objects/thumbs/07alead2_th.jpg
07alead3,07alead,image/jpeg,image,objects/07alead3.jpg,"Rules of Conduct, 1898, page 3",1898,1898,,,/objects/small/07alead3_sm.jpg,/objects/thumbs/07alead3_th.jpg
07alead4,07alead,image/jpeg,image,objects/07alead4.jpg,"Rules of Conduct, 1898, page 4",1898,1898,,,/objects/small/07alead4_sm.jpg,/objects/thumbs/07alead4_th.jpg
07athlet,,image/jpeg,image,objects/07athlet.jpg,Tempe State Teachers College Bulldogs win over the NAU Lumberjacks,1933,1933,Tempe State Teachers College Bulldogs win over the NAU Lumberjacks 1933 UP UPC ASUG S882 #6,Campus Lives - Athletes,/objects/small/07athlet_sm.jpg,/objects/thumbs/07athlet_th.jpg
07casc,,image/jpeg,image,objects/07casc.jpg,"Students building the 'N' on N Mountain, 1923",1923,1923,"Students building the ""N"" on N Mountain. 1923 Negative sheet #5 photograph #23A Lowell C. Ballard Scrapbook ACC# 93-1077",Campus Lives - Campus Scenes,/objects/small/07casc_sm.jpg,/objects/thumbs/07casc_th.jpg
07ccp,,image/jpeg,image,objects/07ccp.jpg,"Memorial Union Lounge, 1956",1956,1956,"Memorial Union Lounge The Memorial Union, named to honor those who served our country in the military, opened in 1956. The MU is the university communities' link to each other and to the off-campus community. It offers student employment and volunteer opportunities, student services, event and meeting services, commercial vendors, programming, visual arts, food and recreation. Memorial Union Lounge 1956 UP UPC ASUB M45 #30 For more about the Memorial Union, please visit: http://www.asu.edu/mu/","Community, Collaboration and Partnership",/objects/small/07ccp_sm.jpg,/objects/thumbs/07ccp_th.jpg
