objectid	image_url	title	description	category
01stor	../images/01stor.jpg	Military Cadets, 1898	Military Cadets Cadet Company under direction of Captain Fredrick M. Irish, near the fishpond in front of Old Main. 1898 UP UPC ASUD M54.C3 1890s #16 Frederick M. Irish was placed in charge of the male students when military drill was introduced to the Normal School in 1896. The 30 week session was mandatory. Promoters felt that outdoor drills would be a good balance for studies and also enhance mental and personal habits. The course included: the school of soldier; the school of the company; bayonet exercises; battle formation; ceremonies of parade; and duties of sentinels. The cadets also Military Cadets Cadet Company under direction of Captain Fredrick M. Irish, near the fishpond in front of Old Main. 1898 UP UPC ASUD M54.C3 1890s #16 performed military exercises during a two-day encampment. They became an official part of the National Guard during this time, and were called the Normal School Cadet Company. General interest in military training diminished after World War I and military training in Tempe was discontinued. It was reinstated in 1943 when the Army Air Force College Training Detachment came to campus. In 1948, both Army and Air Force ROTC was established. For more information about the AFROTC, please visit http://www.asu.edu/clas/afrotc/.	
02acpro1	../images/02acpro1.jpg	Course of Study By Hiram Bradford Farmer, 1886-87	Course of Study By Hiram Bradford Farmer 0.3 Catalog 1886-87	Academic Freedom - Academic Programs
02acpro2	../images/02acpro2.jpg	Course of Study By Hiram Bradford Farmer, page 2		Academic Freedom - Academic Programs
02acpro3	../images/02acpro3.jpg	Course of Study By Hiram Bradford Farmer, page 3		Academic Freedom - Academic Programs
02acpro4	../images/02acpro4.jpg	Course of Study By Hiram Bradford Farmer, page 4		Academic Freedom - Academic Programs
02acpro5	../images/02acpro5.jpg	Course of Study By Hiram Bradford Farmer, page 5		Academic Freedom - Academic Programs
02athlet	../images/02athlet.jpg	Tempe State Teachers College Bulldogs Baseball Team, 1929-30	Tempe State Teachers College Bulldogs Baseball Team 1929-30 UP UPC ASUA B37 1920s #2/neg	Campus Lives - Athletes
02casc	../images/02casc.jpg	Students waiting for the trolley, ca. 1890s	Students waiting for the trolley Old Main is in the background. ca. 1890s UP UPC ASUB C357 1890s #9	Campus Lives - Campus Scenes
02ccp	../images/02ccp.jpg	02ccp	Boy Scouts met in the loft of Old Main at Tempe State Teachers College. Left to right: Vern Tuckey, Carter Clark, Eugene Burkhard, Jim King, Dick Dyraman. Standing: Bob Sweatman, Mr. Culbertson. 1931 UP UPC ASUG B6 #15	Community, Collaboration and Partnership
02land	../images/02land.jpg	Arizona Territorial Normal School, 1890 	Arizona Territorial Normal School Architect: J.M.Creighton Photographer: Phoenix View Co. 1890 UP UPC ASUB N623 #1 The first building on the campus of the Arizona Territorial Normal School was a 60' x 70' red clay (from Tempe Butte) brick building with four rooms. Each room was 30' x 30'. There was a ten foot hallway through the center running north and south, and a ten foot porch surrounding the building. Other features included in the building were sixty-four French doors which provided cross ventilation in each room, sheet metal stoves for heating with mesquite wood, a well with a windmill, and outhouses. Horses were boarded in a pasture for fifty cents per month or five dollars for the year. Parking was the same fee. The Original Building, as it was referred to, was razed in 1906. University Archives Department of Archives and Manuscripts Arizona State University Libraries 	ASU Library:
02lead	../images/02lead.jpg	Farmer Road in Tempe Named for Farmer, 1985	Farmer Road in Tempe Named for Farmer Tempe Daily News Article November 9, 1985 UE ASU INFO-572	Leadership
02research	../images/02research.jpg	Old Main Library, 1918	Academic Freedom - Research Old Main Library 1918 ASUB O42 #108	Academic Freedom - Research
02stor	../images/02stor.jpg	Women cadets, 1910s	Women cadets Military Science support group 1910s UP UPC ASUD M54.C3 1910s #44	Campus Lives - Student Organizations
03acpro	../images/03acpro.jpg	Faculty and student body, 1890	Faculty and student body 1890 Assistant Principal Edgar L. Storment standing at the far left with Principal Dayton Alonzo Reed. LD 179.28 T6 A3x Vol.1	Academic Freedom - Academic Programs
03athlet	../images/03athlet.jpg	Sun Devils Baseball Team National Champs, 1965	Sun Devils Baseball Team National Champs 1965 See spring sports guide 1966 for player names (34.7 SP82) UP UPC ASUA B37 1960s #11	Campus Lives - Athletes
03casc	../images/03casc.jpg	Mrs. Swiggett (Ida Warren), first married student, ca. 1896	Mrs. Swiggett (Ida Warren), first married student, depicted here on the porch of the Normal School Building. ca. 1896 UP UPC ASUB N623 #19 For more information about programs for families at ASU, please visit:http://www.asu.edu/vpsa/family/	ASU Library:
03ccp	../images/03ccp.jpg	Boy Scouts of America Certificate, 1925	Boy Scouts of America Certificate Scouting courses were offered at the Tempe State Teachers College 1925 Harry E. Earhart Papers UM USM 56	Community, Collaboration and Partnership
03land1	../images/03land1.jpg	Training School, 1901	Training School Students, teachers and Dr. Matthews at the Training School 1901 UP UPC ASUB N623 #26 Teachers and training school students outside the Original Building, which became the Training School when Old Main opened in 1898. This is one of the few images of the school showing the windmill. The building was located at the site of the northwest corner of the present Life Sciences Center.	ASU Library:
03lead	../images/03lead.jpg	Farmer House, first dormitory, ca. 1886-88	Farmer House, first dormitory ca. 1886-88 3.20	Leadership
03research	../images/03research.jpg	Old Main Library, 1927	Academic Freedom - Research Old Main Library 1927 ASUB O41 #39	Academic Freedom - Research
03stor	../images/03stor.jpg	Zetetic Society, 1920s	Campus Lives - Student Organizations Category Index Next Image The Zetetic Society 1920s UP UPC ASUD Z47 #8 The Zetetic Society, organized in 1893, was the first literary society created to encourage literary investigation, discussion and public speaking.	Campus Lives - Student Organizations
04acpro	../images/04acpro.jpg	Course of Study By Robert Lindley Long, 1888-1890	Course of Study By Robert Lindley Long 1888-1890 0.3 Catalog	Academic Freedom - Academic Programs
04athlet	../images/04athlet.jpg	Recent History, ASU Baseball Media Guide, 1998	Recent History ASU Baseball Media Guide, 1998, pg. 3 34.10 B291 Archives	Campus Lives - Athletes
04casc	../images/04casc.jpg	Frederick M. Irish at 'The Bee Hive' with Normal School students, 1899	Frederick M. Irish at "The Bee Hive" with Normal School students. 1899 UP UPC ASUP Frederick M. Irish	Campus Lives - Campus Scenes
04ccp	../images/04ccp.jpg	Varsity Inn, Tempe, 1938	Varsity Inn, Tempe 1938 UP UPC ASUB V37 #10 For over forty years the Varsity Inn served as the student hangout at College Avenue and University Drive. The Inn was established, owned and managed by Bill Bailey from the late 1920s until 1944. The student landmark was razed in 1964.	Community, Collaboration and Partnership
04land	../images/04land.jpg	View north of Old Main,1897	View north of Old Main 1897 UP UPC ASUB C357 1890s #1 The main entrance to the campus was Eighth Street (University Drive), which led to the Main Building. The structures seen at the foot of the Tempe Butte were part of the Mexican community of San Pablo, which was established in 1873.	Landmarks
04lead	../images/04lead.jpg	Second Principal Robert Lindley Long 1888-1890	Second Principal Robert Lindley Long 1888-1890 UP UPC ASUP Long, Robert Lindley Principal Long was appointed by the Trustees of the Territorial Normal School of Arizona to fill the position vacated by Hiram Bradford Farmer. A long-time advocate of public schools, Principal Long worked to provide quality education for Normal School students.	Leadership
04research	../images/04research.jpg	Matthews Library, 1950s	Matthews Library 1950s ASUB M382 #56 Academic Freedom - Research As early as 1914 President A. J. Matthews recognized the need for a new library. Opened in 1930, Matthews Library, named for the past president, was dedicated in part to the library collection. In 1955 the library was expanded to accommodate 800,000 books, but with university status attained in 1958, the demands of advanced degrees and faculty research Matthews Library 1950s ASUB M382 #56 facilitated the need for a new library. In 1966, after 36 years of service, Matthews Library was closed and sixteen miles of books were moved to the new Charles Trumbull Hayden Library.	Academic Freedom - Research
04stor	../images/04stor.jpg	Philomathian Society, 1913	Philomathian Society ca. 1913 UP UPC ASUD P45 #1 The Philomathian Society was the mandatory literary society for second year, junior and senior students organized by Dr. Matthews in 1900.	Campus Lives - Student Organizations
05acpro	../images/05acpro.jpg	Normal School Opening Day, February 8, 1886	Academic Freedom - Academic Programs Category Index Next Image Normal School The first institution of higher education in Arizona Opening Day, February 8, 1886 UP UPC ASUG O63 #10	Academic Freedom - Academic Programs
05alead1	../images/05alead1.jpg	Arizona Territorial Normal School report, 1891, page 1	Arizona Territorial Normal School report 1891 3.22 Report, Page 1 Page 2 Page 3	Leadership
05alead2	../images/05alead2.jpg	Arizona Territorial Normal School report, 1891, page 2	Arizona Territorial Normal School report 1891 3.22 Report, Page 1 Page 2 Page 3	Leadership
05alead3	../images/05alead3.jpg	Arizona Territorial Normal School report, 1891, page 3	Arizona Territorial Normal School report 1891 3.22 Report, Page 1 Page 2 Page 3	Leadership
05athlet	../images/05athlet.jpg	First Football Team, The Normals, 1896-97	Jump to Text Below First Football Team, The Normals, 1896-97 UP UPC ASUA F66 1890s #3 The Sun Devils tradition began when the first football team was organized in 1896 with Tempe Normals playing local high schools and colleges. In 1925 the Bulldogs had their first out-of-state game against the Texas School of Mines. The team won its first Border Conference Championship in 1931. A new stadium named in honor of Garfield Goodwin opened in 1936 with a seating capacity of 4000. The team worked its way toward their first Sun Bowl invitation and victory at El Paso in 1940. Following World War II, the team was renamed the Arizona State College Sun Devils by a student vote in 1946. With support from the Sun Angel Foundation, founded in 1946, the team began its climb to notoriety by playing in two Phoenix Salad Bowls, benefit games for underprivileged children, in 1950 and 1951. To support a growing interest in ASU football, Sun Devil Stadium was opened in 1958 with a seating capacity of 42,000 people. During the 1960's the Sun Devils dominated the Western Athletic Conference, ending the decade with a 1970 Peach Bowl victory in Atlanta. The Sun Devils' success continued through the 1970s, earning invitations to seven Fiesta Bowls and culminating with their move to the Pacific Athletic Conference (Pac-10) in 1978. Arizona State's greatest gridiron triumph, since beating the University of Arizona in their first game in 1899, was their 1987 Rose Bowl victory over the University of Michigan. The Devils are still the only Arizona team to earn a Rose Bowl invitation. Since 1940 the Maroon and Gold have competed in 17 bowl games with a record of 10-6-1. For more about Sun Devil football, please visit: http://thesundevils.fansonly.com/sports/m-footbl/asu-m-footbl-body.html	Campus Lives - Athletes
05casc	../images/05casc.jpg	Class portrait showing Old Main and the original Normal School Building, 1901	Class portrait showing Old Main and the original Normal School Building before it was razed in 1906. 1901 UP UPC ASUP S88 1900 #9	Campus Lives - Campus Scenes
05ccp	../images/05ccp.jpg	Varsity Inn, Tempe, ca. 1930s	Varsity Inn, Tempe Staff and students/patrons ca. 1930s UP UPC ASUB V37 #15	Community, Collaboration and Partnership
05land	../images/05land.jpg	Tyler Mall, ca. 1904-05	Original Building, Alpha Hall and Old Main on Tyler Mall ca. 1904-05 UP UPC ASUB C357 1900s #4 Alpha Hall and the Training School/Original Building are on the left and Old Main is on the right. The view is to the west.	Landmarks
05lead	../images/05lead.jpg	Third Principal Dayton A. Reed 1890-1892	Third Principal Dayton A. Reed 1890-1892 UP UPC ASUP Reed, Dayton A. The keystone of Arizona's educational system and its main source of teachers was the Arizona Territorial Normal School in Tempe. Classes had already started in 1886, held in a four-room building with 33 students in attendance. When the Reed-Storment era began, it was clear to them that better facilities had to be developed in order to provide a good teaching environment for students. Reed and Storment are credited with establishing funds for and beginning construction of the historic building and intellectual symbol of the university today, Old Main.	Leadership
05research	../images/05research.jpg	Arizona Republic Article about Matthews Library, 8/22/35	Academic Freedom - Research Matthews Library 8/22/35 Arizona Republic Article UE ASU Info File 1128	Academic Freedom - Research
05stor	../images/05stor.jpg	Alpha Society, N.D.	Alpha Society N.D. UP UPC ASUD A4242 #3 The Alpha Society was the mandatory literary society organized by Dr. Matthews for freshmen students in 1900.	Campus Lives - Student Organizations
06Astor	../images/06Astor.jpg	Alpha, 1911	Alpha, Olympia and Philo 1911 131.15 v.1 1911 El Picadillo Year Book, Page 50 Page 51	Campus Lives - Student Organizations
06Bstor	../images/06Bstor.jpg	Alpha, Olympia and Philo, page 2	Page 1 of letter	Campus Lives - Student Organizations
06acpro	../images/06acpro.jpg	Opening Day, Professor H. B. Farmer and students, 1886	Academic Freedom - Academic Programs Normal School Opening Day, February 8, 1886 Professor H. B. Farmer and students 1886 UP UPC ASUG O63 #13	Academic Freedom - Academic Programs
06alead1	../images/06alead1.jpg	Normal School Annual Report, 1894, page 1	Normal School Annual Report December 15, 1894 3.23 Report, Page 1 Page 2	Leadership
06alead2	../images/06alead2.jpg	Normal School Annual Report, 1891, page 2	Arizona Territorial Normal School report 1894 3.23 Report, Page 1 Page 2	Leadership
06athlet	../images/06athlet.jpg	Normal School of Arizona Wins, 1899	Normal School of Arizona Wins 1899 UP UPC ASUA 66 1890s #33 Click here to view the Territorial Cup The 1899 Normal Team with the Arizona Territorial Championship trophy on the Old Main steps after defeating the University of Arizona in the first meeting of the two schools. Front row, l-r: Billy Woolf, Walter Shute, Chris Sagala. Second row: Charlie Haigler, Noble Carter, Robert Richards, Alma Davis. Third row: Harvey Wagnon, Jack Stelzreid, Arthur Woolf. Top row: Charles Woolf, Garfield Goodwin. ASU maintains the trophy at the University Archives. Normal School of Arizona Wins 1899 UP UPC ASUA 66 1890s #33 Click here to view the Territorial Cup	Campus Lives - Athletes
06casc	../images/06casc.jpg	Teddy Roosevelt speaking to the students of Tempe Normal School, 1911	Teddy Roosevelt speaking to the students of Tempe Normal School from the steps of Old Main after the dedication of the Roosevelt Dam. 1911 UP UPC ASUB O42 #34	Campus Lives - Campus Scenes
06ccp	../images/06ccp.jpg	Media Services/News Bureau Staff, 1950s	Media Services/News Bureau Staff 1950s UP UPC ASUD N49 negative 7E From 1947 to 1953, ASC news services consisted of a representative from the Associated Press and a publicity director. Dr. Joe Spring developed the News Bureau, and served as director from 1954 until his retirement in 1983. Ann Bergin modernized the staff and served as director when "Insight " was launched in July 1984. In 1999, the News Bureau's name was changed to Media Relations and Public Information. Media Services/News Bureau Staff 1950s UP UPC ASUD N49 negative 7E Visit Media Relations and Public Information online at: http://www.asu.edu/asunews/	Community, Collaboration and Partnership
06land	../images/06land.jpg	Plat of the Campus, 1907	Plat of the Campus 1907 UP UPC ASUB Plat The plat identifies the structures that comprised Tempe Normal School in 1907. The solid black illustrates the existing buildings, and the shaded areas are projected buildings. In 1907, almost all of the original 20 acres were in use. The Original Building was razed in 1906 and replaced with the Blome Training School. Athletic facilities were also plentiful - there were tennis courts, the first athletic field (Normal Field), and athletic quarters built in 1899. The First Dining Hall, built in 1905 and mainly intended for non-resident students, could seat about 200 diners. This 60' x 80' building (located at the present site of Life Sciences) was razed in 1961.	Landmarks
06lead	../images/06lead.jpg	Fourth Principal Edgar L. Storment 1892-1895	Fourth Principal Edgar L. Storment 1892-1895 Storment is in the first row, left of center UP UPC ASUB N623 #15	Leadership
06research	../images/06research.jpg	ASU Art Collection, tour of training school pupils, 1953	ASU Art Collection Tour of training school pupils. 1953 ASUD U542 #38 Paula R. Kloster Wasser Curator of the American Art Collection Academic Freedom - Research Paula Kloster was professor and head of the department of art at Arizona State College when she was appointed curator of the American Art Collection in 1951. The original collection of sixteen oil paintings donated by Oliver B. James, a New York City native, expanded to include145 works of 18th and early 19th century and contemporary artists in various media originally valued at a quarter of a million dollars. The collection, located in the Matthews Library and later the Art Museum, brought cultural life to the students, faculty, staff, school children and the community through exhibitions, art panels, lectures and gallery talks. The American Collection and the educational programs that supported it were the seed of today's nationally recognized University Art Museum, Katherine K. Herberger College of Fine Arts. For more information about the University Art Museum, please visit: http://asuartmuseum.asu.edu/index.html ASU Art Collection Tour of training school pupils. 1953 ASUD U542 #38 Paula R. Kloster Wasser Curator of the American Art Collection	Academic Freedom - Research
07alead1	../images/07alead1.jpg	Rules of Conduct, 1898, page 1	Rules of Conduct January 5, 1898 3.24 Rules of Conduct, Page 1 Page 2 Page 3 Page 4	Leadership
07alead2	../images/07alead2.jpg	Rules of Conduct, 1898, page 2	Rules of Conduct January 5, 1898 3.24 Rules of Conduct, Page 1 Page 2 Page 3 Page 4	Leadership
07alead3	../images/07alead3.jpg	Rules of Conduct, 1898, page 3	Rules of Conduct January 5, 1898 3.24 Rules of Conduct, Page 1 Page 2 Page 3 Page 4	Leadership
07alead4	../images/07alead4.jpg	Rules of Conduct, 1898, page 4	Rules of Conduct January 5, 1898 3.24 Rules of Conduct, Page 1 Page 2 Page 3 Page 4	Leadership
07athlet	../images/07athlet.jpg	Tempe State Teachers College Bulldogs win over the NAU Lumberjacks	Tempe State Teachers College Bulldogs win over the NAU Lumberjacks 1933 UP UPC ASUG S882 #6	Campus Lives - Athletes
07casc	../images/07casc.jpg	Students building the 'N' on N Mountain, 1923	Students building the "N" on N Mountain. 1923 Negative sheet #5 photograph #23A Lowell C. Ballard Scrapbook ACC# 93-1077	Campus Lives - Campus Scenes
07ccp	../images/07ccp.jpg	Memorial Union Lounge, 1956	Memorial Union Lounge The Memorial Union, named to honor those who served our country in the military, opened in 1956. The MU is the university communities' link to each other and to the off-campus community. It offers student employment and volunteer opportunities, student services, event and meeting services, commercial vendors, programming, visual arts, food and recreation. Memorial Union Lounge 1956 UP UPC ASUB M45 #30 For more about the Memorial Union, please visit: http://www.asu.edu/mu/	Community, Collaboration and Partnership
07land	../images/07land.jpg	Alpha Hall, 1900s	Alpha Hall with Blome Training School to the west 1900s UP UPC ASUG S883.A4 #1 Tyler Mall was a main thoroughfare through the campus. The view is to the east with the first dormitory on campus, Alpha Hall, to the left. Twenty-five women occupied Alpha Hall, which was built in 1902. The hall was a brick building featuring such comforts as electric lights, a heating furnace and running water that was piped to the two bathrooms and the kitchen. The kitchen provided daily meals for fifty in a dining hall. Alpha Hall became the men's dormitory after the completion of East Hall in 1903. It was razed in 1958 for the construction of the Life Sciences Building. The architect for this project was D. W. Millard & Son. For more information about residence halls at ASU today, please visit http://www.asu.edu/reslife/ orhttp://www.asu.edu/east/cls/housing/ .	Landmarks
07lead	../images/07lead.jpg	Fifth Principal Dr. James McNaughton 1895-1899	Fifth Principal Dr. James McNaughton 1895-1899 UP UPC ASUP McNaughton, Dr. James Football was emerging as a popular sport and exercise was the campus rage when Principal McNaughton came to head the Normal School of Arizona. Of the 158 students enrolled in 1896, 61, or 40%, were men, none of whom had played football. That didn't stop them from learning the game and participating in the sport. Physical education for women was soon added to the curriculum under Principal McNaughton, which brought the Normal School into the limelight. But the game of football became more than just a sport under McNaughton. In fact, the football rivalry between Tempe and Tucson began under McNaughton's era with the first "Big Game" in November, 1899. ASU won the first football contest with the University of Arizona 11-2 at Carillo Gardens Field in Tucson. The Normal School also won the championship of the Football League of Arizona in 1899. Although Principal McNaughton was known for his continued support of athletics at the Normal School, he is also credited for bringing "good common school education" to a growing campus.	Leadership
07research	../images/07research.jpg	Dr. Carolyn Staats and Dr. Arthur Staats, psychology professors, 1950s	Dr. Carolyn Staats (l.) and Dr. Arthur Staats (r.), psychology professors 1950s ASUP Staats, Dr. Arthur Academic Freedom - Research Dr. Carolyn Staats and Dr. Arthur Staats were psychology professors who conducted early research tests at the college. Their research focused on human behavior and learning. For more information about the Psychology Department, please visit:http://psych.la.asu.edu/ Dr. Carolyn Staats (l.) and Dr. Arthur Staats (r.), psychology professors 1950s ASUP Staats, Dr. Arthur	Academic Freedom - Research
07stor	../images/07stor.jpg	Athenian Debating Club, 1907	Athenian Debating Club ca. 1910 UP UPC ASUD A89 #1 The Athenian Debating Club was organized by the male student body for the purpose of practicing debates. Membership was restricted, and club business was kept secret.	Campus Lives - Student Organizations
08Accp	../images/08Accp.jpg	Dedication, 1956	Dedication of the new Memorial Union 1956 Arizona Republic UE ASU INFO 1200 Enlarge or Print this Image Dedication photograph	Community, Collaboration and Partnership
08acpro	../images/08acpro.jpg	California Accreditation, 1902	California Accreditation was achieved in 1902 Normal School graduates were certified to teach grammar school in California. Arizona State University A Documentary History of the First Seventy-five Years LD179.28T683x Volume 2 pg. 21	Academic Freedom - Academic Programs
08athlet	../images/08athlet.jpg	Frank Kush carried by ASU team, Homecoming victory, 1965	Frank Kush carried by ASU team Homecoming ASU 7, Washington State 6 1965 UP UPC ASUP Kush, Frank Frank Kush became coach of the Sun devils in 1958. He is credited with building ASU's reputation as a major contender in collegiate football.	Campus Lives - Athletes
08casc	../images/08casc.jpg	Students singing during free time in the dormitory, 1925	Students singing during free time in the dormitory. 1925 Negative Sheet #10 photograph #44 Lowell C. Ballard Scrapbook ACC# 93-1077	Campus Lives - Campus Scenes
08land	../images/08land.jpg	Athletic Field, ca. 1916	Athletic Field ca. 1916 ASUB N622 #1 Normal Field Grandstand was built in 1915. It had a seating capacity of several hundred spectators and was equipped with showers and dressing rooms. The roof of the dining room and the stacks from the heating plant are visible in the background.	Landmarks
08lead	../images/08lead.jpg	Sixth Principal Joseph Warren Smith 1899-1900	Sixth Principal Joseph Warren Smith 1899-1900 UP UPC ASUP Smith, Joseph Warren Joseph Warren Smith, an educator and superintendent of schools from Michigan, was the principal of Tempe Normal School for one year. Under his leadership music was introduced into the curriculum and academic standards were raised.	Leadership
08research	../images/08research.jpg	Poisonous Animal Research Laboratory (PARL), 1956	Poisonous Animal Research Laboratory (PARL) 1956 Photographer: Stan Gilbert ASUD A54 #4 Academic Freedom - Research Dr. Herbert Stahnke developed a controversial antivenin serum for scorpion stings in the 1930s. The lab, founded in the early 1940s as part of the biology department, researched poisonous animals. Although the center closed in 1972, the antivenin was still produced by the Anti-Virus Laboratory in the Department of Microbiology as late as 1995. For more information about the Biology Department, please visit:http://ls.la.asu.edu/biology/ Poisonous Animal Research Laboratory (PARL) 1956 Photographer: Stan Gilbert ASUD A54 #4	Academic Freedom - Research
08stor	../images/08stor.jpg	Band, 1915	Band In addition to the usual course in vocal music, there has been added this past year instruction in orchestral and band instruments, and it has been taken advantage of by many of our students.... with such beneficial results to the individual student that it is determined to continue this feature of music instruction. The object to Band Mrs. Williams with the first marching band, 1915 UP UPC ASUD B36 1910s #3 be attained is the establishment of a school band... (O.3 catalog, 1915). For more information about the ASU band, please visit http://www.music.asu.edu .	Campus Lives - Student Organizations
09Aathlet	../images/09Aathlet.jpg	Bowl game results, page 1	Bowl game results, Page 1 Bowl game results, Page 2 Head Coaches, Page 3 ASU Football Media Guide 34.7 AR47 Archives	Campus Lives - Athletes
09Bathlet	../images/09Bathlet.jpg	Bowl game results, Page 2	Bowl game results, Page 1 Bowl game results, Page 2 Head Coaches, Page 3 ASU Football Media Guide 34.7 AR47 Archives	Campus Lives - Athletes
09Cathlet	../images/09Cathlet.jpg	Head Coaches, Page 3	Bowl game results, Page 1 Bowl game results, Page 2 Head Coaches, Page 3 ASU Football Media Guide 34.7 AR47 Archives	Campus Lives - Athletes
09accp	../images/09accp.jpg	Memorial Union Art Gallery, 1957	Memorial Union Art Gallery 1957 Arizona Republic UE ASU INFO 1169 Enlarge or Print this Image Gallery photograph	Community, Collaboration and Partnership
09acpro	../images/09acpro.jpg	Chemistry class in the Old Main building, 1898	Chemistry class in the Old Main building Fredrick M. Irish is seated in the center looking to the right. 1898 UP UPC ASUB O42 #88 Academic Freedom - Academic Programs "The course in chemistry is intended to be pursued in close connection with that of physics. The student applies his knowledge of experimental methods to study of the laws of chemical phenomena." (1897-98 catalog 0.3 1886-1901 v.1-15) Chemistry class in the Old Main building Fredrick M. Irish is seated in the center looking to the right. 1898 UP UPC ASUB O42 #88	Academic Freedom - Academic Programs
09casc	../images/09casc.jpg	Annual Tree Planting Tradition, ca. 1923	Annual Tree Planting Tradition ca. 1923 UP UPC ASUP C52 1923 #5 The class of 1901 planted English Ivy at Old Main and started the annual tree-planting tradition that symbolized class loyalty. Seniors from 1904 planted the Rose, while the class of 1905 decided to beautify the grounds with Date Palms. Later classes provided the Pepper and Orange tree; the Arizona State Tree, the Palo Verde; and the Saguaro, whose blossom is the State Flower. Annual Tree Planting Tradition ca. 1923 UP UPC ASUP C52 1923 #5	Campus Lives - Campus Scenes
09land	../images/09land.jpg	Athletic Field postcard, 1916	Athletic Field panoramic postcard 1916 UP UPC ASUB N622 #8 At the left of the photograph is East Hall, the girl's dormitory, and to the right are the athletic facilities and Tempe.	Landmarks
